VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR
575 1000 300 1400 10 200 400 291 10284 13017 405 6365 10110
575 1000 300 1400 10 225 0 251 4213 5207 350 1473 2023
575 1000 300 1400 10 225 100 261 5550 7504 363 2526 4468
575 1000 300 1400 10 225 200 271 7002 9516 376 3680 6533
575 1000 300 1400 10 225 300 282 8579 11339 390 4970 8402
575 1000 300 1400 10 225 400 293 10280 13017 405 6365 10110
575 1000 300 1400 10 250 0 253 4211 5207 350 1473 2023
575 1000 300 1400 10 250 100 262 5547 7504 363 2526 4468
575 1000 300 1400 10 250 200 273 6999 9516 377 3680 6533
575 1000 300 1400 10 250 300 283 8576 11339 391 4969 8402
575 1000 300 1400 10 250 400 294 10277 13017 405 6365 10110
575 1000 300 1400 10 275 0 254 4208 5207 351 1473 2023
575 1000 300 1400 10 275 100 264 5544 7504 363 2526 4468
575 1000 300 1400 10 275 200 274 6995 9516 377 3680 6533
575 1000 300 1400 10 275 300 285 8572 11339 391 4969 8402
575 1000 300 1400 10 275 400 296 10273 13017 405 6365 10110
575 1000 300 1400 10 300 0 256 4205 5207 351 1473 2023
575 1000 300 1400 10 300 100 266 5541 7504 363 2526 4468
575 1000 300 1400 10 300 200 276 6993 9516 377 3680 6533
575 1000 300 1400 10 300 300 287 8569 11339 391 4969 8402
575 1000 300 1400 10 300 400 298 10270 13017 405 6365 10110
575 1000 300 1400 20 200 0 252 4255 5207 358 1503 2023
575 1000 300 1400 20 200 100 262 5598 7504 370 2563 4468
575 1000 300 1400 20 200 200 272 7056 9516 384 3725 6533
575 1000 300 1400 20 200 300 282 8640 11339 398 5024 8402
575 1000 300 1400 20 200 400 293 10349 13017 413 6429 10110
575 1000 300 1400 20 225 0 253 4252 5207 358 1503 2023
575 1000 300 1400 20 225 100 263 5595 7504 370 2563 4468
575 1000 300 1400 20 225 200 274 7054 9516 384 3725 6533
575 1000 300 1400 20 225 300 284 8637 11339 398 5023 8402
575 1000 300 1400 20 225 400 295 10345 13017 413 6429 10110
575 1000 300 1400 20 250 0 255 4250 5207 358 1503 2023
575 1000 300 1400 20 250 100 265 5592 7504 371 2563 4468
575 1000 300 1400 20 250 200 275 7049 9516 384 3725 6533
575 1000 300 1400 20 250 300 286 8634 11339 398 5023 8402
575 1000 300 1400 20 250 400 297 10342 13017 413 6429 10110
575 1000 300 1400 20 275 0 257 4247 5207 358 1503 2023
575 1000 300 1400 20 275 100 267 5589 7504 371 2563 4468
575 1000 300 1400 20 275 200 277 7047 9516 384 3725 6533
575 1000 300 1400 20 275 300 288 8630 11339 398 5023 8402
575 1000 300 1400 20 275 400 299 10339 13017 413 6429 10110
575 1000 300 1400 20 300 0 258 4244 5207 358 1503 2023
575 1000 300 1400 20 300 100 268 5586 7504 371 2563 4468
575 1000 300 1400 20 300 200 279 7044 9516 384 3725 6533
575 1000 300 1400 20 300 300 289 8627 11339 398 5023 8402
575 1000 300 1400 20 300 400 301 10335 13017 413 6429 10110
575 1000 300 1400 30 200 0 254 4288 5207 363 1527 2023
575 1000 300 1400 30 200 100 264 5636 7504 376 2592 4468
575 1000 300 1400 30 200 200 274 7099 9516 390 3760 6533
575 1000 300 1400 30 200 300 285 8689 11339 405 5065 8402
575 1000 300 1400 30 200 400 296 10403 13017 420 6478 10110
575 1000 300 1400 30 225 0 255 4285 5207 363 1527 2023
575 1000 300 1400 30 225 100 265 5633 7504 376 2592 4468
575 1000 300 1400 30 225 200 276 7095 9516 390 3760 6533
575 1000 300 1400 30 225 300 286 8685 11339 405 5064 8402
575 1000 300 1400 30 225 400 298 10400 13017 420 6476 10110
575 1000 300 1400 30 250 0 257 4283 5207 363 1527 2023
575 1000 300 1400 30 250 100 267 5630 7504 376 2592 4468
575 1000 300 1400 30 250 200 277 7093 9516 390 3760 6533
575 1000 300 1400 30 250 300 288 8682 11339 405 5064 8402
575 1000 300 1400 30 250 400 299 10396 13017 420 6476 10110
