VZA VAZ SZA SAZ WV OZ AOT XA_SWIR XB_SWIR XC_SWIR 
650 1000 0 0 45 180 200 1657 1131 3868
650 1000 0 0 45 180 300 1722 1807 5362
650 1000 0 0 45 180 400 1790 2570 6722
650 1000 0 0 45 180 500 1859 3416 7979
650 1000 0 0 45 180 600 1931 4341 9152
650 1000 0 0 45 180 700 2003 5342 10254
650 1000 0 0 45 180 800 2077 6414 11296
650 1000 0 0 45 180 900 2153 7552 12283
650 1000 0 0 45 240 0 1534 76 125
650 1000 0 0 45 240 100 1594 551 2184
650 1000 0 0 45 240 200 1657 1131 3868
650 1000 0 0 45 240 300 1722 1807 5362
650 1000 0 0 45 240 400 1790 2570 6722
650 1000 0 0 45 240 500 1859 3416 7979
650 1000 0 0 45 240 600 1931 4341 9152
650 1000 0 0 45 240 700 2003 5342 10254
650 1000 0 0 45 240 800 2077 6414 11296
650 1000 0 0 45 240 900 2153 7552 12283
650 1000 0 0 45 300 0 1534 76 125
650 1000 0 0 45 300 100 1594 551 2184
650 1000 0 0 45 300 200 1657 1131 3868
650 1000 0 0 45 300 300 1722 1807 5362
650 1000 0 0 45 300 400 1790 2570 6722
650 1000 0 0 45 300 500 1859 3416 7979
650 1000 0 0 45 300 600 1931 4341 9152
650 1000 0 0 45 300 700 2003 5342 10254
650 1000 0 0 45 300 800 2077 6414 11296
650 1000 0 0 45 300 900 2153 7552 12283
650 1000 0 0 45 360 0 1534 76 125
650 1000 0 0 45 360 100 1594 551 2184
650 1000 0 0 45 360 200 1657 1131 3868
650 1000 0 0 45 360 300 1722 1807 5362
650 1000 0 0 45 360 400 1790 2570 6722
650 1000 0 0 45 360 500 1859 3416 7979
650 1000 0 0 45 360 600 1931 4341 9152
650 1000 0 0 45 360 700 2003 5342 10254
650 1000 0 0 45 360 800 2077 6414 11296
650 1000 0 0 45 360 900 2153 7552 12283
650 1000 0 0 60 0 0 1566 77 125
650 1000 0 0 60 0 100 1627 555 2184
650 1000 0 0 60 0 200 1692 1138 3868
650 1000 0 0 60 0 300 1759 1816 5362
650 1000 0 0 60 0 400 1828 2584 6722
650 1000 0 0 60 0 500 1898 3435 7979
650 1000 0 0 60 0 600 1970 4365 9152
650 1000 0 0 60 0 700 2045 5371 10254
650 1000 0 0 60 0 800 2121 6449 11296
650 1000 0 0 60 0 900 2197 7593 12283
650 1000 0 0 60 60 0 1566 77 125
650 1000 0 0 60 60 100 1627 555 2184
650 1000 0 0 60 60 200 1692 1138 3868
650 1000 0 0 60 60 300 1759 1816 5362
650 1000 0 0 60 60 400 1828 2584 6722
650 1000 0 0 60 60 500 1898 3435 7979
650 1000 0 0 60 60 600 1970 4365 9152
650 1000 0 0 60 60 700 2045 5371 10254
650 1000 0 0 60 60 800 2121 6449 11296
650 1000 0 0 60 60 900 2197 7593 12283
650 1000 0 0 60 120 0 1566 77 125
650 1000 0 0 60 120 100 1627 555 2184
650 1000 0 0 60 120 200 1692 1138 3868
650 1000 0 0 60 120 300 1759 1816 5362
650 1000 0 0 60 120 400 1828 2584 6722
650 1000 0 0 60 120 500 1898 3435 7979
650 1000 0 0 60 120 600 1970 4365 9152
650 1000 0 0 60 120 700 2045 5371 10254
650 1000 0 0 60 120 800 2121 6449 11296
650 1000 0 0 60 120 900 2197 7593 12283
650 1000 0 0 60 180 0 1566 77 125
650 1000 0 0 60 180 100 1627 555 2184
650 1000 0 0 60 180 200 1692 1138 3868
650 1000 0 0 60 180 300 1759 1816 5362
650 1000 0 0 60 180 400 1828 2584 6722
650 1000 0 0 60 180 500 1898 3435 7979
650 1000 0 0 60 180 600 1970 4365 9152
650 1000 0 0 60 180 700 2045 5371 10254
650 1000 0 0 60 180 800 2121 6449 11296
650 1000 0 0 60 180 900 2197 7593 12283
650 1000 0 0 60 240 0 1566 77 125
650 1000 0 0 60 240 100 1627 555 2184
650 1000 0 0 60 240 200 1692 1138 3868
650 1000 0 0 60 240 300 1759 1816 5362
650 1000 0 0 60 240 400 1828 2584 6722
650 1000 0 0 60 240 500 1898 3435 7979
650 1000 0 0 60 240 600 1970 4365 9152
650 1000 0 0 60 240 700 2045 5371 10254
650 1000 0 0 60 240 800 2121 6449 11296
650 1000 0 0 60 240 900 2197 7593 12283
650 1000 0 0 60 300 0 1566 77 125
650 1000 0 0 60 300 100 1627 555 2184
650 1000 0 0 60 300 200 1692 1138 3868
650 1000 0 0 60 300 300 1759 1816 5362
650 1000 0 0 60 300 400 1828 2584 6722
650 1000 0 0 60 300 500 1898 3435 7979
650 1000 0 0 60 300 600 1970 4365 9152
650 1000 0 0 60 300 700 2045 5371 10254
650 1000 0 0 60 300 800 2121 6449 11296
650 1000 0 0 60 300 900 2197 7593 12283
650 1000 0 0 60 360 0 1566 77 125
650 1000 0 0 60 360 100 1627 555 2184
650 1000 0 0 60 360 200 1692 1138 3868
650 1000 0 0 60 360 300 1759 1816 5362
650 1000 0 0 60 360 400 1828 2584 6722
650 1000 0 0 60 360 500 1898 3435 7979
