DATE LAT LON BAND_1 BAND_2 BAND_3 BAND_4 BAND_5, BAND_9, CLM
20120620.0000 -12.9937 -50.3974 0.0976 0.2517 0.2564 297.9469 241.5329 295.1699 0.0000
20120620.0000 -12.9937 -50.3626 0.0975 0.2482 0.2546 297.6493 241.4185 294.7882 0.0000
20120620.0000 -12.9937 -50.3278 0.0975 0.2482 0.2546 297.6493 241.4185 294.7882 0.0000
20120620.0000 -12.9937 -50.2929 0.1120 0.2347 0.3026 299.9500 241.8170 295.4237 0.0000
20120620.0000 -12.9937 -50.2581 0.1134 0.2363 0.3157 301.1253 241.9299 296.0557 0.0000
20120620.0000 -12.9937 -50.2232 0.1134 0.2363 0.3157 301.1253 241.9299 296.0557 0.0000
20120620.0000 -12.9937 -50.1884 0.1118 0.2428 0.3122 300.6787 241.7604 296.3075 0.0000
20120620.0000 -12.9937 -50.1536 0.1118 0.2428 0.3122 300.6787 241.7604 296.3075 0.0000
20120620.0000 -12.9937 -50.1187 0.1103 0.2426 0.3070 299.7650 242.0986 296.0557 0.0000
20120620.0000 -12.9937 -50.0839 0.1103 0.2358 0.3085 299.9500 242.2665 296.1816 0.0000
20120620.0000 -12.9937 -50.0490 0.1103 0.2358 0.3085 299.9500 242.2665 296.1816 0.0000
20120620.0000 -12.9937 -50.0142 0.1087 0.2307 0.3000 300.0421 242.2665 296.3075 0.0000
20120620.0000 -12.9937 -49.9794 0.1072 0.2289 0.2899 299.7650 242.2106 296.1816 0.0000
20120620.0000 -12.9937 -49.9445 0.1072 0.2289 0.2899 299.7650 242.2106 296.1816 0.0000
20120620.0000 -12.9937 -49.9097 0.1130 0.2288 0.3063 300.3166 242.2106 296.4332 0.0000
20120620.0000 -12.9937 -49.8748 0.1245 0.2336 0.3227 300.5886 242.2106 296.3075 0.0000
20120620.0000 -12.9937 -49.2825 0.1080 0.2192 0.3045 300.3166 241.8170 296.1816 0.0000
20120620.0000 -12.9937 -49.2477 0.1065 0.2257 0.2912 299.6720 242.3779 295.6769 0.0000
20120620.0000 -12.9937 -49.2129 0.1064 0.2272 0.2877 299.3914 242.4334 295.5504 0.0000
20120620.0000 -12.9937 -49.1780 0.1064 0.2272 0.2877 299.3914 242.4334 295.5504 0.0000
20120620.0000 -12.9937 -49.1432 0.1092 0.2271 0.3040 300.0421 242.3222 295.8033 0.0000
20120620.0000 -12.9937 -49.1083 0.1049 0.2269 0.2858 299.3914 242.4889 295.4237 0.0000
20120620.0000 -12.9937 -49.0735 0.1049 0.2269 0.2858 299.3914 242.4889 295.4237 0.0000
20120620.0000 -12.9937 -49.0387 0.0991 0.2317 0.2544 298.2416 242.5996 294.9156 0.0000
20120620.0000 -12.9937 -49.0038 0.1033 0.2300 0.2772 298.9178 242.8746 295.1699 0.0000
20120620.0000 -12.9937 -48.9690 0.1033 0.2300 0.2772 298.9178 242.8746 295.1699 0.0000
20120620.0000 -12.9937 -48.9341 0.1047 0.2233 0.2918 299.7650 242.8746 295.4237 0.0000
20120620.0000 -12.9937 -48.8993 0.1018 0.2281 0.2753 298.9178 242.7649 295.1699 0.0000
20120620.0000 -12.9937 -48.8645 0.1018 0.2281 0.2753 298.9178 242.7649 295.1699 0.0000
20120620.0000 -12.9937 -48.8296 0.1031 0.2312 0.2735 298.6299 242.4334 294.4051 0.0000
20120620.0000 -12.9937 -48.7948 0.1031 0.2360 0.2635 297.9469 241.9863 293.2480 2.0000
20120620.0000 -12.9937 -48.7599 0.1031 0.2360 0.2635 297.9469 241.9863 293.2480 0.0000
20120620.0000 -12.9937 -48.7251 0.1045 0.2441 0.2568 296.2185 241.1887 290.6321 0.0000
20120620.0000 -12.9937 -46.7740 0.1812 0.2718 0.3389 300.0421 242.1547 294.1490 0.0000
20120620.0000 -12.9937 -46.7392 0.1826 0.2813 0.3773 301.8263 242.1547 295.8033 0.0000
20120620.0000 -12.9937 -46.7043 0.1460 0.2619 0.3659 302.8480 242.3222 297.1844 0.0000
20120620.0000 -12.9937 -46.6695 0.1376 0.2363 0.3613 302.5958 242.2665 296.6841 0.0000
