VZA VAZ SZA SAZ WV OZ AOT XA_RED XB_RED XC_RED XA_NIR XB_NIR XC_NIR XA_SWIR XB_SWIR XC_SWIR 
650 1075 0 0 45 300 800 331 16841 18784 457 11956 15888 2077 6414 11296
650 1075 0 0 45 300 900 344 19080 20040 474 13805 17129 2153 7552 12283
650 1075 0 0 45 360 0 236 3500 5207 324 1267 2023 1534 76 125
650 1075 0 0 45 360 100 248 4639 7504 339 2100 4468 1594 551 2184
650 1075 0 0 45 360 200 260 5941 9516 355 3091 6533 1657 1131 3868
650 1075 0 0 45 360 300 272 7400 11339 371 4254 8402 1722 1807 5362
650 1075 0 0 45 360 400 284 9007 13017 388 5549 10110 1790 2570 6722
650 1075 0 0 45 360 500 297 10762 14584 405 6988 11700 1859 3416 7979
650 1075 0 0 45 360 600 310 12665 16061 422 8525 13171 1931 4341 9152
650 1075 0 0 45 360 700 323 14688 17461 439 10181 14566 2003 5342 10254
650 1075 0 0 45 360 800 337 16831 18784 457 11956 15888 2077 6414 11296
650 1075 0 0 45 360 900 350 19070 20040 474 13805 17129 2153 7552 12283
650 1075 0 0 60 0 0 216 3568 5207 329 1287 2023 1566 77 125
650 1075 0 0 60 0 100 227 4713 7504 344 2125 4468 1627 555 2184
650 1075 0 0 60 0 200 238 6024 9516 360 3121 6533 1692 1138 3868
650 1075 0 0 60 0 300 249 7492 11339 376 4290 8402 1759 1816 5362
650 1075 0 0 60 0 400 260 9108 13017 393 5591 10110 1828 2584 6722
650 1075 0 0 60 0 500 272 10871 14584 410 7037 11700 1898 3435 7979
650 1075 0 0 60 0 600 284 12783 16061 427 8582 13171 1970 4365 9152
650 1075 0 0 60 0 700 296 14814 17461 445 10245 14566 2045 5371 10254
650 1075 0 0 60 0 800 308 16968 18784 462 12028 15888 2121 6449 11296
650 1075 0 0 60 0 900 320 19217 20040 481 13887 17129 2197 7593 12283
650 1075 0 0 60 60 0 220 3562 5207 329 1287 2023 1566 77 125
650 1075 0 0 60 60 100 230 4707 7504 344 2125 4468 1627 555 2184
650 1075 0 0 60 60 200 241 6017 9516 360 3121 6533 1692 1138 3868
650 1075 0 0 60 60 300 253 7485 11339 376 4289 8402 1759 1816 5362
650 1075 0 0 60 60 400 264 9100 13017 393 5591 10110 1828 2584 6722
650 1075 0 0 60 60 500 276 10863 14584 410 7037 11700 1898 3435 7979
650 1075 0 0 60 60 600 288 12774 16061 428 8582 13171 1970 4365 9152
650 1075 0 0 60 60 700 301 14804 17461 445 10245 14566 2045 5371 10254
650 1075 0 0 60 60 800 313 16959 18784 462 12028 15888 2121 6449 11296
650 1075 0 0 60 60 900 325 19208 20040 481 13887 17129 2197 7593 12283
650 1075 0 0 60 120 0 223 3556 5207 329 1287 2023 1566 77 125
650 1075 0 0 60 120 100 234 4701 7504 344 2125 4468 1627 555 2184
650 1075 0 0 60 120 200 246 6010 9516 360 3121 6533 1692 1138 3868
650 1075 0 0 60 120 300 257 7477 11339 376 4289 8402 1759 1816 5362
650 1075 0 0 60 120 400 269 9092 13017 393 5591 10110 1828 2584 6722
650 1075 0 0 60 120 500 281 10855 14584 410 7037 11700 1898 3435 7979
650 1075 0 0 60 120 600 293 12765 16061 428 8582 13171 1970 4365 9152
650 1075 0 0 60 120 700 306 14796 17461 445 10245 14566 2045 5371 10254
650 1075 0 0 60 120 800 318 16949 18784 462 12028 15888 2121 6449 11296
650 1075 0 0 60 120 900 331 19198 20040 481 13887 17129 2197 7593 12283
650 1075 0 0 60 180 0 227 3549 5207 329 1287 2023 1566 77 125
650 1075 0 0 60 180 100 238 4694 7504 344 2125 4468 1627 555 2184
650 1075 0 0 60 180 200 250 6003 9516 360 3121 6533 1692 1138 3868
650 1075 0 0 60 180 300 261 7470 11339 377 4289 8402 1759 1816 5362
650 1075 0 0 60 180 400 273 9084 13017 393 5591 10110 1828 2584 6722
650 1075 0 0 60 180 500 286 10846 14584 411 7037 11700 1898 3435 7979
