layer_1 layer_2 layer_3 iter score
30.0000 48.0000 12.0000 1000.0000 0.8907
30.0000 60.0000 3.0000 200.0000 0.8878
30.0000 60.0000 3.0000 600.0000 0.8887
30.0000 60.0000 3.0000 1000.0000 0.8891
30.0000 60.0000 6.0000 200.0000 0.8889
30.0000 60.0000 6.0000 600.0000 0.8889
30.0000 60.0000 6.0000 1000.0000 0.8866
30.0000 60.0000 9.0000 200.0000 0.8906
30.0000 60.0000 9.0000 600.0000 0.8899
30.0000 60.0000 9.0000 1000.0000 0.8887
30.0000 60.0000 12.0000 200.0000 0.8888
30.0000 60.0000 12.0000 600.0000 0.8877
30.0000 60.0000 12.0000 1000.0000 0.8869
