Start to generate file: class_mod_msg.csv
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    0.    0.]
[   5.  100.    5.    0.    0.]
[  5.  62.   1.   0.   0.]
[ 11.  52.   0.   0.   2.]
[ 11.  57.   1.   0.   1.]
[ 11.  56.   1.   1.   1.]
[  5.  93.   4.   3.   2.]
[  5.  55.   0.   3.   2.]
[ 11.  54.   0.   3.   2.]
[ 11.  57.   1.   1.   2.]
[  5.  55.   0.   1.   1.]
[  5.  70.   2.   2.   2.]
[ 11.  78.   3.   1.   1.]
[ 11.  67.   2.   1.   1.]
[  5.  53.   0.   1.   1.]
[  5.  77.   3.   1.   1.]
[  5.  72.   2.   1.   1.]
[  5.  43.  -1.   1.   1.]
[ 11.  77.   3.   1.   1.]
[  5.  52.   0.   3.   1.]
[ 11.  63.   1.   0.   1.]
[  5.  52.   0.   1.   1.]
[  5.  93.   4.   0.   1.]
[  5.  99.   5.   3.   2.]
[ 11.  55.   0.   1.   2.]
[ 11.  72.   2.   1.   2.]
[ 11.  41.  -1.   3.   1.]
[ 11.  40.  -1.   1.   2.]
[ 11.  49.   0.   0.   2.]
[ 11.  64.   1.   3.   2.]
[  5.  68.   2.   3.   2.]
[  5.  82.   3.   0.   2.]
[  5.  85.   4.   0.   2.]
[  5.  60.   1.   1.   2.]
[ 11.  76.   3.   1.   1.]
[ 11.  74.   2.   1.   2.]
[ 11.  72.   2.   3.   2.]
[ 11.  68.   2.   0.   2.]
[ 11.  64.   1.   1.   2.]
[  5.  57.   1.   2.   0.]
[  5.  57.   1.   0.   2.]
[ 11.  44.  -1.   1.   2.]
[ 11.  59.   1.   0.   1.]
[  5.  66.   2.   0.   1.]
[  5.  67.   2.   2.   1.]
[  5.  88.   4.   3.   1.]
[   5.  100.    5.    3.    1.]
[   5.  100.    5.    1.    1.]
[  5.  99.   5.   2.   1.]
[   5.  100.    5.    1.    1.]
[   5.  100.    5.    3.    1.]
[   5.  100.    5.    3.    1.]
[  5.  95.   4.   1.   1.]
[  5.  97.   5.   1.   1.]
[   5.  100.    5.    1.    1.]
[   5.  100.    5.    1.    1.]
[   5.  100.    5.    1.    1.]
[  5.  96.   5.   0.   2.]
[  1.  54.   0.   1.   1.]
[  1.  66.   2.   1.   1.]
[  5.  71.   2.   1.   1.]
[  5.  60.   1.   1.   1.]
[  5.  68.   2.   1.   1.]
[  5.  43.  -1.   1.   1.]
[  1.  53.   0.   1.   1.]
[  5.  46.   0.   1.   1.]
[ 11.  79.   3.   3.   1.]
[ 11.  51.   0.   1.   1.]
[  1.  70.   2.   1.   1.]
[  1.  65.   2.   1.   1.]
[  5.  61.   1.   0.   0.]
[   5.  100.    5.    0.    0.]
[  5.  99.   5.   3.   2.]
[  5.  86.   4.   0.   2.]
[  5.  90.   4.   0.   2.]
[  5.  88.   4.   0.   0.]
[  5.  98.   5.   2.   0.]
[  5.  68.   2.   3.   0.]
[  5.  72.   2.   0.   2.]
[  5.  96.   5.   0.   2.]
[   5.  100.    5.    0.    2.]
[  5.  94.   4.   0.   2.]
[  5.  63.   1.   3.   2.]
[  5.  84.   3.   3.   2.]
[  5.  90.   4.   0.   0.]
[  5.  64.   1.   3.   2.]
[  5.  84.   3.   2.   2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[  5.  90.   4.   0.   2.]
[  5.  96.   5.   3.   2.]
[  5.  93.   4.   3.   2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    0.]
[   5.  100.    5.    3.    0.]
[  5.  81.   3.   0.   0.]
[ 11.  69.   2.   3.   2.]
[ 11.  74.   2.   0.   2.]
[  5.  76.   3.   3.   2.]
[  5.  86.   4.   1.   2.]
[  5.  72.   2.   3.   2.]
[  5.  69.   2.   0.   2.]
[  5.  93.   4.   1.   2.]
[  5.  83.   3.   3.   2.]
[  5.  87.   4.   1.   2.]
[  5.  52.   0.   1.   2.]
[ 11.  63.   1.   2.   1.]
[  5.  57.   1.   1.   1.]
[ 11.  55.   0.   1.   1.]
[  5.  77.   3.   3.   1.]
[  5.  91.   4.   3.   2.]
[  5.  75.   2.   2.   2.]
[  5.  85.   4.   2.   1.]
[ 11.  66.   2.   1.   1.]
[ 11.  69.   2.   1.   1.]
[ 11.  82.   3.   3.   2.]
[  5.  75.   2.   1.   2.]
[  5.  64.   1.   2.   2.]
[  5.  71.   2.   0.   2.]
[  5.  80.   3.   0.   2.]
[  5.  46.   0.   0.   2.]
[  5.  69.   2.   1.   2.]
[ 11.  35.  -2.   1.   2.]
[ 11.  63.   1.   2.   2.]
[  5.  46.   0.   0.   2.]
[  5.  76.   3.   2.   2.]
[  5.  99.   5.   0.   2.]
[  5.  85.   4.   2.   2.]
[ 11.  53.   0.   3.   2.]
[ 11.  53.   0.   0.   2.]
[  5.  55.   0.   1.   2.]
[  5.  70.   2.   0.   2.]
[  5.  65.   2.   0.   2.]
[  5.  91.   4.   0.   2.]
[  5.  72.   2.   3.   2.]
[ 11.  52.   0.   3.   1.]
[  5.  68.   2.   0.   1.]
[ 11.  54.   0.   1.   1.]
[  5.  76.   3.   3.   1.]
[  5.  99.   5.   0.   1.]
[  5.  94.   4.   3.   1.]
[   5.  100.    5.    3.    1.]
[   5.  100.    5.    1.    1.]
[   5.  100.    5.    1.    1.]
[   5.  100.    5.    1.    1.]
[  5.  88.   4.   3.   1.]
[  5.  91.   4.   1.   1.]
[   5.  100.    5.    1.    1.]
[   5.  100.    5.    3.    1.]
[   5.  100.    5.    1.    1.]
[  5.  96.   5.   1.   2.]
[  1.  35.  -2.   3.   1.]
[  1.  42.  -1.   3.   1.]
[  1.  45.   0.   3.   1.]
[  1.  42.  -1.   1.   1.]
[  5.  43.  -1.   1.   1.]
[  5.  80.   3.   1.   1.]
[  1.  54.   0.   1.   1.]
[  5.  38.  -1.   1.   1.]
[  5.  45.   0.   3.   1.]
[ 11.  36.  -1.   1.   1.]
[  5.  57.   1.   0.   0.]
[  5.  98.   5.   3.   0.]
[  5.  85.   4.   1.   0.]
[  5.  96.   5.   0.   0.]
[  5.  87.   4.   0.   2.]
[  5.  55.   0.   3.   0.]
[  5.  61.   1.   3.   0.]
[  5.  61.   1.   0.   0.]
[  5.  60.   1.   3.   2.]
[  5.  89.   4.   3.   2.]
[ 11.  49.   0.   3.   2.]
[  5.  79.   3.   0.   2.]
[  5.  84.   3.   3.   2.]
[  5.  88.   4.   3.   2.]
[  5.  92.   4.   3.   2.]
[  5.  95.   4.   3.   2.]
[  5.  88.   4.   0.   2.]
[  5.  81.   3.   1.   2.]
[  5.  99.   5.   3.   2.]
[  5.  94.   4.   2.   2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    3.    2.]
[  5.  99.   5.   2.   0.]
[  5.  62.   1.   3.   0.]
[ 11.  77.   3.   0.   2.]
[ 11.  62.   1.   0.   2.]
[  5.  76.   3.   3.   3.]
[  5.  70.   2.   0.   1.]
[ 11.  59.   1.   1.   1.]
[  5.  65.   2.   3.   2.]
[  5.  76.   3.   3.   2.]
[  5.  58.   1.   0.   2.]
[  5.  85.   4.   0.   2.]
[  5.  89.   4.   2.   2.]
[ 11.  70.   2.   1.   1.]
[ 11.  54.   0.   3.   1.]
[  1.  40.  -1.   1.   1.]
[  5.  62.   1.   3.   1.]
[  5.  99.   5.   1.   2.]
[  5.  95.   4.   1.   1.]
[  5.  72.   2.   1.   1.]
[ 11.  88.   4.   1.   1.]
[ 11.  51.   0.   0.   1.]
[  5.  66.   2.   2.   2.]
[ 11.  56.   1.   1.   2.]
[  5.  65.   2.   3.   2.]
[ 11.  59.   1.   1.   2.]
[ 11.  57.   1.   3.   2.]
[ 11.  87.   4.   3.   2.]
[  5.  55.   0.   3.   2.]
[ 11.  63.   1.   3.   2.]
[ 11.  50.   0.   1.   1.]
[  2.  33.  -2.   1.   2.]
[  5.  58.   1.   0.   2.]
[  5.  60.   1.   0.   2.]
[  5.  68.   2.   0.   2.]
[  5.  66.   2.   3.   2.]
[  5.  72.   2.   3.   2.]
[  5.  57.   1.   3.   2.]
[  5.  72.   2.   0.   2.]
[  5.  80.   3.   0.   2.]
[  5.  73.   2.   0.   2.]
[  5.  85.   4.   0.   1.]
[  5.  49.   0.   0.   1.]
[ 11.  58.   1.   3.   1.]
[ 11.  71.   2.   1.   1.]
[  5.  95.   4.   1.   1.]
[  5.  88.   4.   1.   1.]
[  5.  97.   5.   1.   1.]
[   5.  100.    5.    1.    1.]
[   5.  100.    5.    1.    1.]
[   5.  100.    5.    3.    1.]
[   5.  100.    5.    2.    1.]
[   5.  100.    5.    3.    1.]
[  5.  84.   3.   3.   1.]
[  5.  99.   5.   1.   1.]
[  5.  94.   4.   1.   1.]
[  5.  78.   3.   1.   1.]
[  5.  74.   2.   1.   1.]
[  5.  48.   0.   1.   1.]
[ 11.  65.   2.   1.   1.]
[  5.  44.  -1.   1.   1.]
[  5.  95.   4.   0.   0.]
[  5.  98.   5.   3.   0.]
[  5.  93.   4.   0.   0.]
[ 11.  75.   2.   3.   2.]
[ 11.  56.   1.   3.   0.]
[  5.  60.   1.   0.   0.]
[ 11.  57.   1.   0.   0.]
[  5.  63.   1.   3.   2.]
[  5.  98.   5.   2.   2.]
[  5.  93.   4.   0.   2.]
[  5.  97.   5.   0.   2.]
[  5.  98.   5.   0.   0.]
[  5.  97.   5.   3.   2.]
[  5.  89.   4.   3.   2.]
[  5.  83.   3.   1.   2.]
[  5.  83.   3.   0.   2.]
[  5.  86.   4.   0.   2.]
[  5.  99.   5.   1.   2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    2.    0.]
[  5.  64.   1.   3.   0.]
[ 11.  58.   1.   2.   2.]
[ 11.  76.   3.   3.   2.]
[ 11.  61.   1.   3.   3.]
[  5.  72.   2.   0.   3.]
[ 11.  74.   2.   1.   1.]
[ 11.  74.   2.   1.   1.]
[ 11.  52.   0.   3.   3.]
[  5.  61.   1.   1.   2.]
[  5.  73.   2.   0.   2.]
[  5.  91.   4.   1.   3.]
[  5.  65.   2.   3.   1.]
[  5.  52.   0.   3.   1.]
[  5.  67.   2.   3.   1.]
[  5.  46.   0.   1.   1.]
[  5.  90.   4.   1.   1.]
[  5.  91.   4.   1.   1.]
[   5.  100.    5.    1.    1.]
[  5.  96.   5.   3.   1.]
[  5.  62.   1.   1.   2.]
[  5.  85.   4.   3.   2.]
[ 11.  57.   1.   1.   2.]
[ 11.  79.   3.   3.   2.]
[ 11.  39.  -1.   1.   3.]
[  2.  55.   0.   1.   2.]
[  2.  51.   0.   1.   2.]
[ 11.  71.   2.   1.   2.]
[  5.  45.   0.   3.   2.]
[ 11.  79.   3.   1.   2.]
[ 11.  54.   0.   1.   1.]
[  5.  53.   0.   0.   1.]
[ 11.  70.   2.   3.   2.]
[  5.  48.   0.   3.   2.]
[  5.  45.   0.   0.   2.]
[  5.  68.   2.   0.   2.]
[   5.  100.    5.    0.    2.]
[  5.  89.   4.   3.   2.]
[  5.  54.   0.   1.   2.]
[ 11.  63.   1.   1.   1.]
[ 11.  52.   0.   1.   1.]
[ 11.  75.   2.   3.   1.]
[ 11.  54.   0.   3.   1.]
[  1.  63.   1.   1.   1.]
[  5.  51.   0.   1.   1.]
[  5.  88.   4.   3.   1.]
[  1.  71.   2.   3.   1.]
[  1.  61.   1.   1.   1.]
[  5.  92.   4.   1.   1.]
[   5.  100.    5.    1.    1.]
[   5.  100.    5.    0.    1.]
[   5.  100.    5.    0.    1.]
[  5.  85.   4.   3.   1.]
[  5.  81.   3.   1.   1.]
[  5.  86.   4.   1.   1.]
[  5.  66.   2.   3.   1.]
[  5.  29.  -2.   3.   1.]
[ 11.  43.  -1.   1.   1.]
[  5.  53.   0.   0.   2.]
[  5.  98.   5.   0.   0.]
[   5.  100.    5.    0.    0.]
[  5.  99.   5.   0.   0.]
[  5.  52.   0.   3.   2.]
[  5.  88.   4.   2.   2.]
[  5.  80.   3.   0.   2.]
[  5.  64.   1.   3.   2.]
[  5.  93.   4.   0.   2.]
[  5.  77.   3.   3.   2.]
[  5.  88.   4.   0.   2.]
[  5.  98.   5.   0.   2.]
[   5.  100.    5.    0.    2.]
[  5.  92.   4.   0.   2.]
[  5.  91.   4.   1.   2.]
[  5.  98.   5.   0.   2.]
[  5.  87.   4.   2.   0.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    0.]
[   5.  100.    5.    0.    0.]
[  5.  74.   2.   0.   0.]
[ 11.  64.   1.   3.   2.]
[  5.  51.   0.   0.   2.]
[ 11.  57.   1.   1.   3.]
[  5.  95.   4.   1.   3.]
[  5.  99.   5.   1.   3.]
[  5.  57.   1.   3.   1.]
[  5.  57.   1.   0.   3.]
[  5.  53.   0.   0.   3.]
[  5.  61.   1.   1.   3.]
[  5.  82.   3.   3.   3.]
[  5.  54.   0.   1.   1.]
[  5.  65.   2.   1.   1.]
[  5.  76.   3.   1.   1.]
[  5.  57.   1.   3.   1.]
[  1.  64.   1.   1.   1.]
[  5.  70.   2.   1.   1.]
[   5.  100.    5.    3.    1.]
[  5.  98.   5.   1.   1.]
[   5.  100.    5.    1.    1.]
[  5.  62.   1.   1.   3.]
[ 11.  73.   2.   1.   2.]
[ 11.  77.   3.   3.   2.]
[  5.  57.   1.   0.   2.]
[  2.  50.   0.   3.   2.]
[  5.  45.   0.   3.   2.]
[  5.  67.   2.   1.   2.]
[  5.  41.  -1.   0.   2.]
[ 11.  41.  -1.   1.   2.]
[ 11.  79.   3.   1.   1.]
[ 11.  80.   3.   1.   1.]
[ 11.  58.   1.   2.   1.]
[ 11.  68.   2.   1.   1.]
[ 11.  72.   2.   1.   1.]
[  5.  62.   1.   3.   2.]
[  5.  64.   1.   3.   2.]
[  5.  68.   2.   2.   2.]
[  5.  73.   2.   2.   2.]
[  5.  54.   0.   2.   1.]
[ 11.  40.  -1.   1.   2.]
[ 11.  51.   0.   0.   1.]
[ 11.  49.   0.   3.   1.]
[  5.  45.   0.   1.   1.]
[  5.  86.   4.   1.   1.]
[  5.  75.   2.   3.   1.]
[  1.  61.   1.   1.   1.]
[  1.  87.   4.   1.   1.]
[  1.  51.   0.   1.   3.]
[  5.  59.   1.   1.   1.]
[  5.  83.   3.   3.   1.]
[  5.  81.   3.   1.   2.]
[  5.  63.   1.   0.   1.]
[  5.  53.   0.   2.   1.]
[  5.  73.   2.   3.   1.]
[  5.  35.  -2.   1.   1.]
[  5.  68.   2.   1.   2.]
[  5.  99.   5.   0.   0.]
[  5.  96.   5.   0.   2.]
[  5.  85.   4.   2.   2.]
[  5.  90.   4.   0.   2.]
[  5.  68.   2.   3.   2.]
[  5.  68.   2.   3.   2.]
[  5.  55.   0.   3.   2.]
[  5.  62.   1.   0.   2.]
[  5.  72.   2.   1.   2.]
[  5.  90.   4.   0.   2.]
[  5.  86.   4.   3.   2.]
[  5.  82.   3.   0.   2.]
[  5.  84.   3.   1.   2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    0.    2.]
[  5.  97.   5.   0.   2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    0.]
[   5.  100.    5.    0.    0.]
[  5.  73.   2.   0.   2.]
[  5.  51.   0.   0.   2.]
[   5.  100.    5.    0.    3.]
[  5.  85.   4.   3.   3.]
[ 11.  54.   0.   3.   3.]
[  5.  69.   2.   3.   3.]
[  5.  81.   3.   3.   3.]
[ 11.  71.   2.   1.   3.]
[ 11.  80.   3.   1.   1.]
[ 11.  77.   3.   0.   1.]
[ 11.  99.   5.   3.   1.]
[  5.  49.   0.   1.   1.]
[  5.  54.   0.   1.   1.]
[ 11.  58.   1.   1.   1.]
[  5.  74.   2.   1.   1.]
[  5.  42.  -1.   1.   1.]
[  5.  75.   2.   3.   1.]
[   5.  100.    5.    0.    1.]
[   5.  100.    5.    1.    1.]
[  5.  95.   4.   1.   1.]
[  5.  87.   4.   0.   1.]
[  5.  89.   4.   3.   1.]
[ 11.  43.  -1.   3.   3.]
[ 11.  48.   0.   1.   2.]
[ 11.  57.   1.   0.   1.]
[  5.  83.   3.   3.   2.]
[  5.  93.   4.   0.   2.]
[  5.  50.   0.   0.   2.]
[ 11.  53.   0.   3.   2.]
[ 11.  58.   1.   2.   2.]
[ 11.  66.   2.   3.   1.]
[ 11.  48.   0.   3.   2.]
[ 11.  61.   1.   1.   2.]
[ 11.  62.   1.   2.   2.]
[ 11.  51.   0.   3.   2.]
[ 11.  65.   2.   1.   2.]
[ 11.  47.   0.   3.   2.]
[  5.  64.   1.   0.   0.]
[  5.  56.   1.   3.   2.]
[ 11.  62.   1.   1.   2.]
[ 11.  52.   0.   1.   1.]
[ 11.  52.   0.   1.   1.]
[ 11.  41.  -1.   1.   1.]
[  5.  55.   0.   1.   1.]
[ 11.  50.   0.   1.   1.]
[  5.  62.   1.   0.   1.]
[  5.  47.   0.   3.   3.]
[  1.  94.   4.   1.   1.]
[  1.  71.   2.   1.   1.]
[  1.  58.   1.   0.   1.]
[  1.  68.   2.   1.   1.]
[  1.  67.   2.   1.   1.]
[ 11.  38.  -1.   1.   1.]
[  5.  57.   1.   1.   1.]
[  1.  53.   0.   3.   1.]
[ 11.  37.  -1.   1.   1.]
[  5.  69.   2.   0.   2.]
[  5.  79.   3.   1.   2.]
[  5.  91.   4.   0.   2.]
[  5.  82.   3.   0.   2.]
[ 11.  51.   0.   3.   2.]
[  5.  71.   2.   1.   2.]
[  5.  66.   2.   3.   2.]
[  5.  95.   4.   0.   2.]
[  5.  80.   3.   3.   2.]
[  5.  64.   1.   3.   2.]
[ 11.  63.   1.   3.   2.]
[ 11.  62.   1.   3.   2.]
[ 11.  53.   0.   3.   2.]
[  5.  90.   4.   1.   2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    0.    2.]
[  5.  57.   1.   3.   2.]
[  8.  52.   0.   3.   2.]
[  5.  83.   3.   3.   2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    3.    2.]
[  5.  97.   5.   1.   2.]
[   5.  100.    5.    0.    0.]
[   5.  100.    5.    3.    0.]
[  5.  77.   3.   0.   0.]
[ 11.  60.   1.   0.   2.]
[  5.  62.   1.   0.   3.]
[  5.  91.   4.   3.   3.]
[  5.  80.   3.   0.   3.]
[ 11.  67.   2.   3.   3.]
[  5.  54.   0.   1.   3.]
[  5.  85.   4.   1.   3.]
[ 11.  59.   1.   1.   3.]
[ 11.  93.   4.   1.   1.]
[ 11.  59.   1.   1.   1.]
[ 11.  72.   2.   1.   1.]
[  5.  53.   0.   1.   1.]
[ 11.  55.   0.   1.   1.]
[  5.  52.   0.   1.   1.]
[ 11.  39.  -1.   1.   1.]
[  5.  39.  -1.   1.   1.]
[  5.  63.   1.   3.   1.]
[  5.  77.   3.   1.   1.]
[  5.  76.   3.   1.   1.]
[  5.  88.   4.   1.   1.]
[  5.  99.   5.   3.   1.]
[  5.  99.   5.   1.   1.]
[  5.  98.   5.   3.   1.]
[  5.  94.   4.   1.   1.]
[  5.  55.   0.   1.   1.]
[ 11.  68.   2.   0.   2.]
[  5.  54.   0.   3.   2.]
[  5.  95.   4.   0.   2.]
[ 11.  65.   2.   3.   2.]
[ 11.  66.   2.   3.   2.]
[ 11.  66.   2.   3.   1.]
[ 11.  71.   2.   1.   1.]
[ 11.  64.   1.   3.   2.]
[  5.  71.   2.   0.   2.]
[  5.  88.   4.   0.   2.]
[  5.  72.   2.   2.   2.]
[  5.  61.   1.   3.   0.]
[  5.  61.   1.   0.   2.]
[  5.  72.   2.   0.   2.]
[  5.  70.   2.   3.   2.]
[  5.  37.  -1.   3.   1.]
[ 11.  76.   3.   0.   1.]
[ 11.  52.   0.   1.   1.]
[  1.  61.   1.   1.   1.]
[ 11.  47.   0.   1.   1.]
[  5.  74.   2.   1.   1.]
[  5.  75.   2.   2.   1.]
[  5.  86.   4.   3.   1.]
[  1.  62.   1.   1.   1.]
[  1.  49.   0.   1.   1.]
[  1.  86.   4.   1.   1.]
[  1.  96.   5.   1.   1.]
[  1.  72.   2.   1.   1.]
[  1.  74.   2.   1.   3.]
[ 11.  34.  -2.   1.   1.]
[  5.  52.   0.   1.   2.]
[  5.  72.   2.   3.   2.]
[  5.  77.   3.   1.   2.]
[   5.  100.    5.    3.    2.]
[  5.  86.   4.   3.   2.]
[  5.  77.   3.   3.   2.]
[  5.  97.   5.   3.   2.]
[  5.  95.   4.   0.   0.]
[   5.  100.    5.    0.    0.]
[  5.  89.   4.   0.   2.]
[  5.  93.   4.   3.   2.]
[  5.  62.   1.   1.   2.]
[  5.  88.   4.   0.   2.]
[  5.  90.   4.   3.   2.]
[  5.  94.   4.   0.   0.]
[  5.  91.   4.   3.   2.]
[  5.  81.   3.   3.   2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[   5.  100.    5.    3.    2.]
[  5.  99.   5.   0.   2.]
[   5.  100.    5.    0.    0.]
[  5.  91.   4.   2.   2.]
[ 11.  72.   2.   3.   3.]
[ 11.  72.   2.   2.   3.]
[  5.  56.   1.   1.   3.]
[  5.  75.   2.   3.   3.]
[ 11.  66.   2.   1.   3.]
[  5.  53.   0.   0.   3.]
[  5.  64.   1.   3.   3.]
[  5.  86.   4.   3.   3.]
[ 11.  69.   2.   0.   3.]
[ 11.  81.   3.   1.   1.]
[ 11.  56.   1.   1.   1.]
[ 11.  55.   0.   1.   1.]
[ 11.  66.   2.   3.   1.]
[ 11.  72.   2.   1.   1.]
[ 11.  47.   0.   1.   1.]
[  1.  52.   0.   3.   1.]
[  1.  45.   0.   1.   1.]
[  5.  59.   1.   3.   1.]
[  5.  75.   2.   1.   1.]
[  5.  71.   2.   3.   1.]
[  5.  99.   5.   3.   1.]
[   5.  100.    5.    3.    1.]
[   5.  100.    5.    1.    1.]
[  5.  98.   5.   1.   1.]
[  5.  99.   5.   1.   1.]
[ 11.  45.   0.   1.   1.]
[ 11.  73.   2.   1.   1.]
[ 11.  54.   0.   0.   2.]
[ 11.  71.   2.   1.   1.]
[ 11.  83.   3.   0.   1.]
[  5.  53.   0.   3.   2.]
[  5.  54.   0.   3.   1.]
[ 11.  87.   4.   1.   1.]
[ 11.  79.   3.   3.   1.]
[ 11.  81.   3.   0.   1.]
[ 11.  69.   2.   3.   2.]
[ 11.  66.   2.   0.   1.]
[  5.  65.   2.   0.   0.]
[  5.  65.   2.   0.   0.]
[ 11.  69.   2.   1.   2.]
[ 11.  68.   2.   0.   1.]
[ 11.  67.   2.   1.   1.]
[ 11.  76.   3.   3.   1.]
[  1.  67.   2.   1.   1.]
[ 11.  47.   0.   3.   1.]
[ 11.  66.   2.   0.   1.]
[ 11.  72.   2.   1.   1.]
[ 11.  65.   2.   1.   1.]
[  5.  66.   2.   0.   1.]
[  5.  95.   4.   2.   2.]
[  5.  42.  -1.   1.   2.]
[  1.  82.   3.   1.   1.]
[  1.  92.   4.   1.   1.]
[  1.  87.   4.   1.   3.]
[  1.  61.   1.   1.   3.]
[  5.  23.  -3.   3.   1.]
[  5.  52.   0.   3.   2.]
[ 11.  51.   0.   3.   2.]
[ 11.  55.   0.   3.   2.]
[  5.  82.   3.   0.   2.]
[  5.  74.   2.   3.   2.]
[  5.  52.   0.   3.   2.]
[  5.  52.   0.   0.   2.]
[  5.  94.   4.   3.   2.]
[   5.  100.    5.    1.    2.]
[   5.  100.    5.    0.    0.]
[   5.  100.    5.    3.    0.]
[  5.  86.   4.   0.   2.]
[  5.  68.   2.   3.   2.]
[   5.  100.    5.    0.    0.]
[  5.  97.   5.   0.   0.]
[  5.  62.   1.   3.   0.]
[  5.  65.   2.   0.   2.]
[  5.  71.   2.   1.   2.]
[  5.  92.   4.   3.   2.]
[  5.  80.   3.   3.   2.]
[  5.  75.   2.   3.   2.]
[  5.  59.   1.   1.   2.]
[  5.  50.   0.   0.   2.]
[  5.  87.   4.   0.   2.]
[ 11.  65.   2.   3.   2.]
[ 11.  82.   3.   3.   3.]
[ 11.  90.   4.   3.   3.]
[ 11.  74.   2.   0.   3.]
[  5.  52.   0.   0.   3.]
[  5.  75.   2.   1.   3.]
[  5.  49.   0.   0.   3.]
[  5.  58.   1.   3.   3.]
[  5.  75.   2.   0.   3.]
[  5.  93.   4.   0.   3.]
[ 11.  70.   2.   3.   1.]
[  5.  62.   1.   3.   1.]
[  5.  91.   4.   1.   1.]
[  5.  57.   1.   1.   1.]
[ 11.  83.   3.   1.   1.]
[ 11.  63.   1.   0.   1.]
[ 11.  60.   1.   1.   1.]
[  5.  90.   4.   1.   1.]
[ 11.  62.   1.   1.   1.]
[  5.  85.   4.   1.   1.]
[  5.  64.   1.   1.   1.]
[  5.  92.   4.   1.   1.]
[  5.  73.   2.   1.   1.]
[  5.  90.   4.   3.   1.]
[   5.  100.    5.    3.    1.]
[  5.  68.   2.   1.   1.]
[  5.  80.   3.   1.   1.]
[  5.  69.   2.   1.   1.]
[ 11.  50.   0.   3.   1.]
[  5.  53.   0.   1.   1.]
[  5.  73.   2.   3.   1.]
[  5.  73.   2.   0.   2.]
[ 11.  71.   2.   3.   1.]
[ 11.  62.   1.   1.   1.]
[ 11.  50.   0.   1.   1.]
[  5.  60.   1.   1.   1.]
[  5.  60.   1.   3.   1.]
[ 11.  52.   0.   1.   1.]
[  5.  61.   1.   0.   2.]
[ 11.  45.   0.   3.   2.]
[ 11.  74.   2.   3.   1.]
[ 11.  41.  -1.   1.   1.]
[ 11.  82.   3.   1.   1.]
[ 11.  79.   3.   1.   1.]
[ 11.  72.   2.   1.   1.]
[ 11.  66.   2.   0.   1.]
[ 11.  51.   0.   1.   1.]
[ 11.  66.   2.   3.   1.]
[ 11.  71.   2.   1.   1.]
[ 11.  62.   1.   3.   1.]
[  5.  57.   1.   3.   1.]
[  5.  58.   1.   1.   1.]
[  1.  59.   1.   1.   1.]
[  1.  75.   2.   1.   1.]
[  1.  77.   3.   1.   1.]
[  1.  58.   1.   1.   1.]
[  1.  46.   0.   1.   1.]
[  5.  99.   5.   0.   2.]
[  5.  82.   3.   3.   2.]
[  5.  65.   2.   1.   2.]
[  5.  59.   1.   3.   2.]
[ 11.  60.   1.   0.   2.]
[  5.  60.   1.   0.   2.]
[  5.  70.   2.   0.   2.]
[  5.  88.   4.   0.   2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    0.    2.]
[   5.  100.    5.    0.    0.]
[  5.  96.   5.   0.   2.]
[  5.  97.   5.   0.   0.]
[   5.  100.    5.    0.    0.]
[  5.  96.   5.   0.   0.]
[  5.  69.   2.   0.   0.]
[  5.  84.   3.   3.   2.]
[  5.  95.   4.   0.   0.]
[  5.  65.   2.   0.   0.]
[  5.  77.   3.   0.   0.]
[  5.  67.   2.   0.   2.]
[  5.  76.   3.   0.   3.]
[ 11.  61.   1.   1.   3.]
[ 11.  75.   2.   1.   3.]
[ 11.  88.   4.   1.   3.]
[ 11.  93.   4.   1.   3.]
[ 11.  51.   0.   0.   3.]
[  5.  89.   4.   0.   3.]
[  5.  67.   2.   0.   3.]
[  5.  84.   3.   0.   3.]
[ 11.  53.   0.   1.   3.]
[  5.  84.   3.   3.   3.]
[  5.  95.   4.   3.   2.]
[ 11.  60.   1.   1.   1.]
[  5.  82.   3.   1.   3.]
[ 11.  69.   2.   1.   3.]
