Start to generate file: class_mod_msg.csv
[  5.  84.   3.   3.   2.]
[  5.  82.   3.   3.   3.]
[  5.  72.   2.   2.   3.]
[  5.  68.   2.   0.   0.]
[  5.  48.   0.   3.   2.]
[  1.  75.   2.   1.   3.]
[  1.  93.   4.   1.   3.]
[  1.  98.   5.   3.   3.]
[  1.  78.   3.   1.   3.]
[  1.  80.   3.   3.   3.]
[  1.  86.   4.   1.   3.]
[   1.  100.    5.    1.    3.]
[   1.  100.    5.    1.    3.]
[  1.  72.   2.   1.   3.]
[ 11.  41.  -1.   2.   0.]
[ 11.  66.   2.   0.   2.]
[ 11.  70.   2.   3.   2.]
[  5.  75.   2.   3.   0.]
[  5.  67.   2.   0.   0.]
[ 11.  65.   2.   1.   2.]
[ 11.  56.   1.   3.   2.]
[ 11.  89.   4.   1.   2.]
[ 11.  86.   4.   3.   1.]
[ 11.  67.   2.   3.   2.]
[ 11.  74.   2.   3.   2.]
[ 11.  58.   1.   3.   2.]
[ 11.  61.   1.   0.   2.]
[  5.  77.   3.   0.   2.]
[  5.  60.   1.   0.   0.]
[ 11.  55.   0.   3.   2.]
[ 11.  59.   1.   2.   0.]
[ 11.  62.   1.   0.   0.]
[ 11.  53.   0.   0.   0.]
[  5.  93.   4.   0.   0.]
[  5.  44.  -1.   2.   2.]
[  1.  68.   2.   1.   3.]
[  1.  53.   0.   1.   3.]
[  1.  45.   0.   1.   3.]
[  1.  41.  -1.   0.   3.]
[  1.  50.   0.   0.   3.]
[  1.  62.   1.   1.   3.]
[  1.  54.   0.   1.   3.]
[  1.  34.  -2.   1.   0.]
[ 11.  70.   2.   3.   2.]
[ 11.  63.   1.   1.   0.]
[ 11.  69.   2.   2.   2.]
[ 11.  56.   1.   3.   0.]
[  5.  52.   0.   2.   0.]
[ 11.  60.   1.   2.   0.]
[  5.  64.   1.   2.   0.]
[ 11.  58.   1.   2.   0.]
[ 11.  65.   2.   2.   2.]
[ 11.  78.   3.   1.   0.]
[ 11.  74.   2.   3.   2.]
[ 11.  53.   0.   0.   1.]
[  2.  47.   0.   0.   3.]
[  8.  52.   0.   1.   2.]
[  8.  54.   0.   3.   0.]
[  5.  64.   1.   1.   2.]
[  1.  75.   2.   1.   3.]
[  5.  46.   0.   3.   3.]
[  2.  76.   3.   0.   3.]
[  2.  63.   1.   1.   3.]
[  1.  94.   4.   1.   3.]
[  1.  59.   1.   0.   3.]
[  1.  98.   5.   1.   3.]
[  1.  82.   3.   1.   3.]
[   1.  100.    5.    3.    3.]
[  1.  67.   2.   3.   3.]
[  1.  87.   4.   1.   3.]
[   1.  100.    5.    1.    3.]
[  1.  99.   5.   1.   3.]
[  1.  90.   4.   3.   3.]
[ 11.  33.  -2.   0.   2.]
[ 11.  72.   2.   3.   2.]
[ 11.  57.   1.   3.   0.]
[ 11.  68.   2.   3.   2.]
[ 11.  60.   1.   0.   2.]
[  5.  73.   2.   3.   0.]
[  5.  77.   3.   3.   2.]
[ 11.  60.   1.   3.   2.]
[  5.  49.   0.   0.   2.]
[ 11.  81.   3.   3.   2.]
[ 11.  75.   2.   3.   2.]
[ 11.  59.   1.   0.   2.]
[ 11.  72.   2.   3.   2.]
[  5.  40.  -1.   1.   2.]
[ 11.  44.  -1.   3.   2.]
[ 11.  53.   0.   2.   2.]
[  5.  50.   0.   1.   2.]
[  5.  50.   0.   2.   2.]
[ 11.  57.   1.   0.   2.]
[ 11.  57.   1.   3.   0.]
[ 11.  46.   0.   2.   0.]
[ 11.  45.   0.   0.   0.]
[  1.  46.   0.   3.   3.]
[  1.  69.   2.   1.   3.]
[  1.  96.   5.   1.   3.]
[  1.  32.  -2.   0.   2.]
[  1.  41.  -1.   1.   2.]
[ 11.  45.   0.   3.   3.]
[  1.  56.   1.   1.   0.]
[  1.  50.   0.   3.   0.]
[  5.  32.  -2.   0.   0.]
[ 11.  53.   0.   0.   0.]
[ 11.  54.   0.   1.   0.]
[ 11.  78.   3.   0.   2.]
[ 11.  63.   1.   0.   0.]
[ 11.  52.   0.   2.   0.]
[ 11.  45.   0.   2.   0.]
[  5.  46.   0.   0.   0.]
[ 11.  70.   2.   3.   0.]
[ 11.  61.   1.   2.   0.]
[ 11.  71.   2.   0.   0.]
[ 11.  55.   0.   3.   2.]
[  1.  59.   1.   1.   1.]
[  1.  98.   5.   1.   3.]
[  1.  46.   0.   0.   1.]
[  8.  60.   1.   2.   1.]
[  5.  69.   2.   2.   2.]
[  1.  59.   1.   1.   0.]
